#separator:tab
#html:true
#deck:DNS Mastery
[C01] Domain vs zone?	Domain = namespace subtree; zone = administratively served portion bounded by delegation cuts.<br><b>Why:</b> the unit of authority/transfer/signing.<br><b>Trap:</b> assuming every subdomain is a zone.
[C02] The four resolver roles?	Stub (asks, caches), recursive (iterates, caches), forwarder (delegates recursion upstream, caches), authoritative (serves zone data, AA).<br><b>Why:</b> every ticket starts by naming the role.<br><b>Trap:</b> "the DNS server" without a role.
[C03] What does a referral contain?	Empty ANSWER; AUTHORITY = child NS; ADDITIONAL = glue; no AA.<br><b>Why:</b> the mechanism of iteration.<br><b>Trap:</b> glue is hint data, not parent authority.
[C04] When is glue mandatory?	NS names in-bailiwick (inside the delegated zone).<br><b>Why:</b> circular dependency otherwise.<br><b>Trap:</b> out-of- bailiwick NS removes the need entirely.
[C05] NXDOMAIN vs NODATA?	Name absent vs type absent (NOERROR/0 + SOA).<br><b>Why:</b> different causes, both negative-cached.<br><b>Trap:</b> empty non-terminals answer NODATA, never NXDOMAIN.
[C06] Negative-cache duration?	min(SOA MINIMUM, SOA TTL) from the moment cached, per cache.<br><b>Why:</b> create-after-query latency.<br><b>Trap:</b> record TTL is irrelevant to negatives.
[C07] Three DNS-over-TCP triggers?	TC=1 retry; AXFR/IXFR; policy/ DoT.<br><b>Why:</b> "UDP-only firewall" = intermittent size-dependent failures.<br><b>Trap:</b> "TCP only for transfers."
[C08] Why 1232 for EDNS?	Fits min-MTU paths unfragmented — silent fragment loss becomes clean TC→TCP.<br><b>Why:</b> modern transport posture.<br><b>Trap:</b> the CLIENT advertises the size.
[C09] Split-horizon leak — four horsemen?	NAT, new subnets, VPN pools, ACL order.<br><b>Why:</b> view selection = source IP + first match.<br><b>Trap:</b> "data changed" when it differs by vantage.
[C10] forward only vs first under dead upstream?	only→SERVFAIL; first→own iteration IF hints/egress work.<br><b>Why:</b> untested fallback is theater.<br><b>Trap:</b> validate the fallback in lab.
[C11] The three layers of truth (DDI)?	L1 objects (intent), L2 deployed zone data, L3 caches.<br><b>Why:</b> every finding names its layer.<br><b>Trap:</b> blaming L3 (TTL) for L1/L2 gaps.
[C12] Five-layer cache map?	App → OS stub → forwarder → resolver node(s) → negatives within each.<br><b>Why:</b> staleness enumeration.<br><b>Trap:</b> the forgotten forwarder layer.
[C13] Wildcard shadowing rule?	Any exact name (any type) stops wildcard synthesis for ALL types at that name.<br><b>Why:</b> a TXT add can kill A resolution.<br><b>Trap:</b> T10.
[C14] CNAME exclusivity?	CNAME must be alone at its node (DNSSEC metadata excepted); never at apex.<br><b>Why:</b> §4 case 3 refusals.<br><b>Trap:</b> apex "ALIAS" = provider flattening, not CNAME.
[C15] What does DNSSEC provide / not provide?	Authenticity + integrity; never confidentiality.<br><b>Why:</b> DoT/DoH is the privacy tool.<br><b>Trap:</b> "DNSSEC encrypts."
[C16] Secure / insecure / bogus?	Validated (AD); provably unsigned (signed DS absence — resolves fine); should-validate-but-fails (SERVFAIL).<br><b>Why:</b> unsigned ≠ broken.<br><b>Trap:</b> the middle state exists by design.
[C17] Where does DS live and what does it digest?	Parent zone; child's KSK.<br><b>Why:</b> the one record you don't control.<br><b>Trap:</b> stale DS after KSK roll = T30.
[C18] Anycast's hidden cost?	Per-instance caches diverge behind one IP.<br><b>Why:</b> T28; monitoring must probe instances.<br><b>Trap:</b> flushing "the resolver" = flushing one instance.
[C19] RPZ's two blind spots?	Clients on other resolvers/DoH; direct-to-IP traffic.<br><b>Why:</b> honest scoping to security teams.<br><b>Trap:</b> overselling.
[C20] TTL 0 means?	No caching — every lookup rides to authority.<br><b>Why:</b> load + inherited authority availability per query.<br><b>Trap:</b> not "agile best practice."  ## B. FLAGS & RCODES
[F01] qr aa rd — who answered?	An authoritative server, from zone data.<br><b>Why:</b> source truth.<br><b>Trap:</b> AA proves source, not correctness.
[F02] qr rd ra, no aa, TTL draining?	Recursive resolver, cache.<br><b>Why:</b> provenance in one glance.<br><b>Trap:</b> draining across repeats to the SAME node.
[F03] RD in a response?	Echo of the query — proves nothing about recursion happening.<br><b>Trap:</b> the echo.
